"Category","Count","Votes","Region Proposal"
"globe",27,1,
"globe stand",4,1,
"gloves",4,1,
"glue",1,1,
"goalpost",1,1,
"golf sticks",1,1,
"grab bar",1,1,
"gramophone",1,1,
"grandfather clock",1,1,
"grass",4,1,
"grate",3,1,
"gravel",1,1,
"grill",9,1,
"groceries",5,1,
"guitar",55,1,
"guitar case",2,1,
"guitar case cover",2,1,
"guitar cases",3,1,
"guitar frame",1,1,
"guitar pedals",2,1,
"guitar stand",3,1,
"guitar straps",5,1,
"gun",1,1,
"gutter",3,1,
"gym equipment",50,1,"rec room"
"gym mat",3,1,"rec room"
"gym rope",1,1,"rec room"
"gym stepper",3,1,"rec room"
"hair brush",4,1,
"hair dryer",5,1,
"hammer",4,1,
"hammock",4,1,
"hand cloth",2,1,
"hand dryer",4,1,
"hand soap",14,1,
"hand towel",7,1,
"handbag",36,1,
"handcart",1,1,
"handkerchiefs",1,1,
"handle",34,1,
"handrail",103,1,
"hanger",333,1,
"hanging clothes",205,1,
"hat",107,1,
"hatch",3,1,
"hats",1,1,
"headboard",7,1,
"headphones",9,1,
"headset",1,1,
"hearth",12,1,
"heater",227,1,
"heater piping",13,1,
"hi-hat",1,1,
"hi-hat stand",1,1,
"high shelf",10,1,
"highchair",8,1,
"holder",6,1,
"hole puncher",1,1,
"holy cross",18,1,
"hook",17,1,
"hose",27,1,
"hot water/cold water knob",14,1,
"hourglass",1,1,
"hoverboard",1,1,
"hunting trophy",22,1,
"hutch",2,1,
"ice maker",2,1,
"icebox",2,1,
"identifier",13,1,
"information",3,1,
"installation",2,1,
"instrument",1,1,
"iron",13,1,
"iron board",10,1,
"ironing board",34,1,
"island",7,1,
"jacket",41,1,
"jacuzzi",2,1,
"jar",176,1,
"jars",2,1,
"jewelry",48,1,
"jewelry box",17,1,"bedroom"
"jug",19,1,
"junk",2,1,
"keg",3,1,
"kettle",66,1,
"keyboard",103,1,
"keyboard box",1,1,
"keyboard cover",1,1,
"keyboard piano",7,1,
"keyboard stand",2,1,
"keys",19,1,
"kitchen appliance",219,1,"kitchen"
"kitchen cabinet",1185,1,"kitchen"
"kitchen cabinet door",21,1,"kitchen"
"kitchen cabinet drawer",14,1,"kitchen"
"kitchen cabinet lower",27,1,"kitchen"
"kitchen ceiling",1,1,"kitchen"
"kitchen chair",8,1,"kitchen"
"kitchen counter",151,1,"kitchen"
"kitchen counter item",4,1,"kitchen"
"kitchen counter support",1,1,"kitchen"
"kitchen countertop item",123,1,"kitchen"
"kitchen countertop items",28,1,"kitchen"
"kitchen decoration",48,1,"kitchen"
"kitchen extractor",22,1,"kitchen"
"kitchen gloves",1,1,"kitchen"
"kitchen handle",4,1,"kitchen"
"kitchen island",49,1,"kitchen"
"kitchen knife set",1,1,"kitchen"
"kitchen lower cabinet",211,1,"kitchen"
"kitchen lower shelf",1,1,"kitchen"
"kitchen seating",1,1,"kitchen"
"kitchen shelf",46,1,"kitchen"
"kitchen sink",2,1,"kitchen"
"kitchen sink cabinet",1,1,"kitchen"
"kitchen table",14,1,"kitchen"
"kitchen top",37,1,"kitchen"
"kitchen towel",1,1,"kitchen"
"kitchen utensil",147,1,"kitchen"
"kitchen utensils",2,1,"kitchen"
"kitchen wall",27,1,"kitchen"
"kitchenware",4,1,"kitchen"
"knife",21,1,
"knife holder",46,1,"kitchen"
"knife set",4,1,"kitchen"
"knife stand",1,1,
"knob",26,1,
"l-shaped sofa",22,1,"living room"
"lace doily",18,1,
"ladder",69,1,
"lamp",3571,1,
"lamp shade",1,1,
"lamp stand",11,1,
"lamp table",19,1,
"lampshade",25,1,
"landing",5,1,
"lantern",1,1,
"laptop",70,1,"office"
"laundry",4,1,
"laundry bag",6,1,
"laundry basket",73,1,
"laundry machine",48,1,
"lawn",3,1,
"lawn mower",2,1,
"leaflets",4,1,
"led tv",39,1,
"ledge",28,1,
"leg rest",2,1,
"level",1,1,
"lid",8,1,
"light",53,1,
"light fixture",268,1,
"light switch",22,1,
"lighter",1,1,
"lighting fixture",9,1,
"liquid",2,1,
"liquid cleaner",2,1,
"liquid container",1,1,
"liquid soap",114,1,
"locker",16,1,
"lounge chair",15,1,
"lounger",9,1,
"lower cabinet",2,1,
"luggage",31,1,
"machine",52,1,
"magazine",112,1,
"magazine rack",1,1,
"magazines",55,1,
"magic marker",4,1,
"magic marker box",2,1,
"mail",1,1,
"mailbox",1,1,
"makeup accessories",1,1,
"mannequin",3,1,
"mantel",3,1,
"mantle",7,1,
"map",8,1,
"mascot",18,1,
"mascots",3,1,
"massage bed",7,1,
"mat",142,1,
"material",2,1,
"measuring tape",2,1,
"medal",2,1,
"medal collection",1,1,
"media console",13,1,
"medical lamp",2,1,
"medical object",1,1,
"menu",4,1,
"menu board",4,1,
"meshwork",1,1,
"meter",1,1,
"microphone",1,1,
"microphone accessory",1,1,
"microwave",174,1,
"mini fridge",16,1,
"mirror",1242,1,
"mirror /otherroom",1,1,
"mirror door",8,1,
"mirror frame",79,1,
"mixer",10,1,
"mobile",1,1,
"model",1,1,
"modem",1,1,
"molding",10,1,
"monitor",156,1,
"moose head/sculpture/hunting trophy",3,1,
"mop",18,1,
"mortar",3,1,
"motion detector",14,1,
"motorcycle",1,1,
"mouse",35,1,
"mousepad",1,1,
"mug",20,1,
"music album shelf",1,1,
"music equipment",1,1,
"music equipment stand",5,1,
"music player",11,1,
"napkin",7,1,
"napkins",3,1,
"newspaper",43,1,
"newspaper basket",6,1,
"niche",9,1,
"night lamp",1,1,
"nightstand",284,1,"bedroom"
"note",28,1,
"note board",2,1,
"notebook",8,1,
"notebooks",1,1,
"notes",29,1,
"oar",1,1,
"object",24,1,
"objects",4,1,
"office chair",62,1,"office"
"office table",5,1,"office"
"office wall",1,1,"office"
"oil lamp",10,1,
"ornament",302,1,
"ottoman",33,1,
"outlet",13,1,
"oven",136,1,"kitchen"
"oven and stove",67,1,"kitchen"
"oven vent",3,1,
"overhang",1,1,
"package",1,1,
"pad",46,1,
"painting",1088,1,
"painting /otherroom",1,1,
"painting frame",10,1,
"painting roll",1,1,
"painting rolls",1,1,
"painting stuff",1,1,
"painting tray",1,1,
"pan",8,1,
"panel",21,1,
"panel screen",4,1,
"paneling",40,1,
"pantry",1,1,
"paper",124,1,
"paper holder",2,1,
"paper storage",15,1,
"paper towel",113,1,
"paper towel dispenser",10,1,
"paper towel holder",2,1,
"paper towels",3,1,
"papers",21,1,
"parapet",113,1,
"partial",1,1,
"partition",72,1,
"patio",1,1,
"patio chair",26,1,
"patio floor",6,1,
"pavement",4,1,
"payment terminal",2,1,
"pc tower",11,1,
"pedestal",2,1,
"pen",22,1,
"pen cup",4,1,
"pen drive",1,1,
"pencil",1,1,
"pencil case",1,1,
"pencil holder",1,1,
"pendant",1,1,
"perfume",15,1,
"pet bed",6,1,
"pet bowl",4,1,
"phone",6,1,
"photo",331,1,
"photo mount",138,1,
"photo mounts",1,1,
"photo stand",1,1,
"photos",2,1,
"piano",23,1,
"piano bench",5,1,
"piano stool",9,1,
"picture",4471,1,
"picture frame",86,1,
"pictures",1,1,
"pile of magazines",44,1,
"pillar",143,1,
"pillow",3841,1,
"pillow seat",1,1,
"ping pong table",1,1,
"pipe",449,1,
"pitcher",8,1,
"pitchfork",1,1,
"place mat",15,1,
"plane",2,1,
"plank",5,1,
"planner",1,1,
"plant",750,1,
"plant ornament",3,1,
"plastic bag",2,1,
"plate",235,1,
"plate of food",21,1,
"plates",11,1,
"platform",22,1,
"platter",1,1,
"playpen",1,1,
"plenum box",2,1,
"pliers",3,1,
"plug",6,1,
"plumbing",10,1,
"plunger",13,1,
"plush toy",132,1,
"podium",4,1,
"pole",1,1,
"poles",1,1,
"pool",2,1,
"pool stick",9,1,"rec room"
"pool table",8,1,"rec room"
"porcelain",24,1,
"portrait",6,1,
"post",3,1,
"poster",53,1,
"pot",177,1,
"pot lid",1,1,
"potty",1,1,
"pouches",1,1,
"pouffe",86,1,
"powder soap",1,1,
"power breaker box",1,1,
"power cord",1,1,
"power strip",2,1,
"press",1,1,
"pressure washer",1,1,
"price tag",50,1,
"printer",102,1,
"product",300,1,
"product box",18,1,
"product boxes",5,1,
"products",24,1,
"projector",7,1,
"projector screen",1,1,
"prop",1,1,
"pump",2,1,
"punchbag",3,1,
"puppet",3,1,
"purse",6,1,
"rack",284,1,
"rack of weights",3,1,"rec room"
"rack with shoes",2,1,
"radiator",352,1,
"radio",45,1,
"rafter",37,1,
"rag",1,1,
"ragdoll",2,1,
"ragdoll cat",1,1,
"rail",25,1,
"railing",87,1,
"rake",3,1,
"range hood",38,1,
"receipt printer",2,1,
"receipt spike",1,1,
"recessed cubby",11,1,
"recessed shelving",2,1,
"recessed wall",19,1,
"recliner",1,1,"living room"
"record player",13,1,
"records",1,1,
"recuperator",2,1,
"recycle bin",20,1,
"refrigerator",188,1,"kitchen"
"refrigerator cabinet",21,1,"kitchen"
"relief",4,1,
"remote control",74,1,"living room"
"rice cooker",1,1,
"riser",1,1,
"robe",16,1,
"rock",3,1,
"rocking chair",20,1,
"rocking horse",3,1,
"rod",11,1,
"rods",1,1,
"roll",3,1,
"rolled carpet",2,1,
"rolling pin",1,1,
"roof",32,1,
"roomba",2,1,
"rope",14,1,
"round chair",2,1,
"round cushion",1,1,
"router",2,1,
"row of theater chairs",1,1,
"rug",589,1,
"ruler",1,1,
"safe",6,1,
"salt and pepper",2,1,
"salt and pepper grinder",1,1,
