Scene name,Original Tag,Corrected Tag,Num Corrections
00105-xWvSkKiWQpC,"brackboard","blackboard",1
00105-xWvSkKiWQpC,"ceiling /otherroom","ceiling",1
00105-xWvSkKiWQpC,"courtain","curtain",1
00105-xWvSkKiWQpC,"decoration plant","decorative plant",1
00105-xWvSkKiWQpC,"extinguisher","fire extinguisher",1
00105-xWvSkKiWQpC,"handhold","handrail",2
00105-xWvSkKiWQpC,"panel wall","wall panel",9
00105-xWvSkKiWQpC,"pile of cups","cups",2
00105-xWvSkKiWQpC,"suitcase","luggage",1
00105-xWvSkKiWQpC,"table border","unknown",8
00105-xWvSkKiWQpC,"toilet cabinet","cabinet",1
00105-xWvSkKiWQpC,"toy mickey mouse","toy",1
00105-xWvSkKiWQpC,"uknown device","unknown",1
00105-xWvSkKiWQpC,"uknown","unknown",70
00105-xWvSkKiWQpC,"unknown clutter","clutter",2
00105-xWvSkKiWQpC,"unknown kitchen appliance","kitchen appliance",5
00105-xWvSkKiWQpC,"unknown wall","wall",1
00105-xWvSkKiWQpC,"unknown/ probably calculator","calculator",1
00105-xWvSkKiWQpC,"unknown/ probably napkins","napkins",1
00105-xWvSkKiWQpC,"unknown/probably cabinet","cabinet",1
00108-oStKKWkQ1id,"books","book",1
00108-oStKKWkQ1id,"nighstand","nightstand",2
00108-oStKKWkQ1id,"toilet bin","trash can",2
00109-GTV2Y73Sn5t,"bathtube","bathtub",1
00109-GTV2Y73Sn5t,"books","book",21
00109-GTV2Y73Sn5t,"detergents","detergent",1
00109-GTV2Y73Sn5t,"dryer","clothes dryer",1
00109-GTV2Y73Sn5t,"flower pot","flowerpot",9
00109-GTV2Y73Sn5t,"handshower","showerhead",1
00109-GTV2Y73Sn5t,"herb basket","basket",1
00109-GTV2Y73Sn5t,"induction hob","stovetop",1
00109-GTV2Y73Sn5t,"pillows","pillow",2
00109-GTV2Y73Sn5t,"pipes","pipe",7
00109-GTV2Y73Sn5t,"puncher","hole puncher",1
00109-GTV2Y73Sn5t,"remote","remote control",2
00109-GTV2Y73Sn5t,"shoes","shoe",6
00109-GTV2Y73Sn5t,"shower head","showerhead",1
00109-GTV2Y73Sn5t,"table top","table",1
00109-GTV2Y73Sn5t,"tablecloth","table cloth",2
00109-GTV2Y73Sn5t,"teddy bear","stuffed animal",1
00109-GTV2Y73Sn5t,"temperature control","thermostat",3
00109-GTV2Y73Sn5t,"towel rail","towel bar",2
00109-GTV2Y73Sn5t,"toy car","toy",8
00109-GTV2Y73Sn5t,"trash can","trashcan",4
00109-GTV2Y73Sn5t,"tv cabinet","tv stand",1
00109-GTV2Y73Sn5t,"umbrellas","umbrella",1
00109-GTV2Y73Sn5t,"ups","unknown",1
00109-GTV2Y73Sn5t,"wall controller","wall control",1
00109-GTV2Y73Sn5t,"water bottle","bottle",1
00135-HeSYRw7eMtG,"courtain","curtain",3
00135-HeSYRw7eMtG,"tabletop","table",2
00135-HeSYRw7eMtG,"toilet ","toilet",1
00135-HeSYRw7eMtG,"toilet bin","trash can",1
00135-HeSYRw7eMtG,"toilet plunger","plunger",1
00135-HeSYRw7eMtG,"trash bin","trashcan",5
00135-HeSYRw7eMtG,"unknown kitchen stuff","unknown",2
00135-HeSYRw7eMtG,"windowsill","window frame",1
00141-iigzG1rtanx,"doorframe","door frame",24
00141-iigzG1rtanx,"shelf /w clutter","shelf with clutter",2
00141-iigzG1rtanx,"supporting structure","support",1
00141-iigzG1rtanx,"table plant","plant",1
00143-5Kw4nGdqYtS,"doorframe","door frame",21
00143-5Kw4nGdqYtS,"tabletop","table",1
00143-5Kw4nGdqYtS,"unknown clutter","clutter",3
00143-5Kw4nGdqYtS,"unkown","unknown",1
00149-UuwwmrTsfBN,"bed table ","bed table",1
00149-UuwwmrTsfBN,"books","book",8
00149-UuwwmrTsfBN,"box tissues","box of tissues",1
00149-UuwwmrTsfBN,"ceiling air vent","ceiling vent",8
00149-UuwwmrTsfBN,"decoratrive plant","decorative plant",2
00149-UuwwmrTsfBN,"device/ probably paper shredder","device",1
00149-UuwwmrTsfBN,"documents","document",1
00149-UuwwmrTsfBN,"door ","door",1
00149-UuwwmrTsfBN,"dumbbells","dumbbell",1
00149-UuwwmrTsfBN,"framed picture","picture",22
00149-UuwwmrTsfBN,"kitchen coocking cabinet ","kitchen cabinet",1
00149-UuwwmrTsfBN,"kitchen hood","range hood",1
00149-UuwwmrTsfBN,"player","music player",2
00149-UuwwmrTsfBN,"remote","remote control",1
00149-UuwwmrTsfBN,"scales","scale",1
00149-UuwwmrTsfBN,"shoes","shoe",30
00149-UuwwmrTsfBN,"tissues","tissue",2
00149-UuwwmrTsfBN,"towel hanger","towel bar",7
00149-UuwwmrTsfBN,"towels","towel",3
00149-UuwwmrTsfBN,"unknown/ probably books","book",1
00149-UuwwmrTsfBN,"unknown/ probably bottle","bottle",1
00149-UuwwmrTsfBN,"unknown/ probably candle","candle",1
00149-UuwwmrTsfBN,"unknown/ probably clock","clock",3
00149-UuwwmrTsfBN,"unknown/ probably decoration","decoration",1
00149-UuwwmrTsfBN,"unknown/ probably fire detector","smoke detector",8
00149-UuwwmrTsfBN,"unknown/ probably plate","plate",1
00149-UuwwmrTsfBN,"unknown/ probably pot","pot",1
00149-UuwwmrTsfBN,"unknown/ probably printer","printer",1
00149-UuwwmrTsfBN,"unknown/ probably shampoo","shampoo",1
00149-UuwwmrTsfBN,"unknown/ probably shower gel","shampoo",1
00149-UuwwmrTsfBN,"washbasin ","washbasin",2
00149-UuwwmrTsfBN,"washbasin cabinet","wash cabinet",6
00149-UuwwmrTsfBN,"window ","window",1
00149-UuwwmrTsfBN,"windw frame","window frame",1
00150-LcAd9dhvVwh," ceiling light","ceiling lamp",7
00150-LcAd9dhvVwh," window frame","window frame",1
00150-LcAd9dhvVwh,"bathtube","bathtub",1
00150-LcAd9dhvVwh,"bed ","bed",1
00150-LcAd9dhvVwh,"books","book",3
00150-LcAd9dhvVwh,"ceiling light","ceiling lamp",11
00150-LcAd9dhvVwh,"computer chair ","computer chair",1
00150-LcAd9dhvVwh,"night table","nightstand",3
00150-LcAd9dhvVwh,"small table","table",1
00150-LcAd9dhvVwh,"toilet handle","handle",2
00150-LcAd9dhvVwh,"toilet paper holder","toilet paper dispenser",1
00150-LcAd9dhvVwh,"wall ","wall",2
00150-LcAd9dhvVwh,"window  frame","window frame",14
00150-LcAd9dhvVwh,"window ","window",3
00155-iLDo95ZbDJq,"books","book",2
00155-iLDo95ZbDJq,"dust bin","dustbin",1
00155-iLDo95ZbDJq,"tableware","flatware",2
00155-iLDo95ZbDJq,"towel hanger","towel bar",4
00155-iLDo95ZbDJq,"towel rod","towel bar",3
00155-iLDo95ZbDJq,"unkknown","unknown",1
00155-iLDo95ZbDJq,"wall decoration","picture",3
00164-XfUxBGTFQQb,"teddy bear","stuffed animal",1
00164-XfUxBGTFQQb,"tiled floor ","floor",1
00164-XfUxBGTFQQb,"tiled floor","floor",3
00164-XfUxBGTFQQb,"toilet bin","trash can",1
00164-XfUxBGTFQQb,"towel holder","towel bar",1
00164-XfUxBGTFQQb,"trash bin","trashcan",1
00166-RaYrxWt5pR1,"armchir","armchair",1
00166-RaYrxWt5pR1,"bad","unknown",1
00166-RaYrxWt5pR1,"dryer","clothes dryer",1
00166-RaYrxWt5pR1,"shalf","shelf",3
00166-RaYrxWt5pR1,"tablecloth","table cloth",2
00166-RaYrxWt5pR1,"towel holder","towel bar",1
00168-bHKTDQFJxTw,"bottlels","bottles",1
00168-bHKTDQFJxTw,"ceiling  light","ceiling light",6
00168-bHKTDQFJxTw,"ceiling ","ceiling",5
00168-bHKTDQFJxTw,"ceiling light","ceiling lamp",42
00168-bHKTDQFJxTw,"door ","door",8
00168-bHKTDQFJxTw,"sink ","sink",4
00168-bHKTDQFJxTw,"tolilet","toilet",1
00168-bHKTDQFJxTw,"trash bin","trashcan",11
00168-bHKTDQFJxTw,"unkown","unknown",2
00168-bHKTDQFJxTw,"wall ","wall",3
00168-bHKTDQFJxTw,"wall sing","wall sign",2
00168-bHKTDQFJxTw,"window ","window",1
00172-bB6nKqfsb1z," toilet paper","toilet paper",1
00172-bB6nKqfsb1z,"door ","door",1
00172-bB6nKqfsb1z,"teddy bear","stuffed animal",1
00172-bB6nKqfsb1z,"terrace door","door",1
00172-bB6nKqfsb1z,"tiled floor","floor",13
00172-bB6nKqfsb1z,"toilet bin","trash can",1
00173-qZ4B7U6XE5Y,"bike","bicycle",2
00173-qZ4B7U6XE5Y,"books","book",1
00173-qZ4B7U6XE5Y,"box /w books","box with books",2
00173-qZ4B7U6XE5Y,"box /w shoes","box with shoes",1
00173-qZ4B7U6XE5Y,"box /w toys","box with toys",1
00173-qZ4B7U6XE5Y,"night table","nightstand",3
00173-qZ4B7U6XE5Y,"toilet paper holder","toilet paper dispenser",1
00173-qZ4B7U6XE5Y,"towel holder","towel bar",1
00173-qZ4B7U6XE5Y,"trash bin","trashcan",6
00173-qZ4B7U6XE5Y,"tube","tv",2
00177-VSxVP19Cdyw,"decoration plant","decorative plant",2
00177-VSxVP19Cdyw,"kitchen countertop ","kitchen counter",2
00177-VSxVP19Cdyw,"kitchen utensils","kitchen utensil",3
00177-VSxVP19Cdyw,"outside","unknown",1
00177-VSxVP19Cdyw,"oven hood","range hood",1
00177-VSxVP19Cdyw,"shower  floor","shower floor",1
00177-VSxVP19Cdyw,"shower  knob","shower knob",2
00177-VSxVP19Cdyw,"shower  wall","shower wall",6
00177-VSxVP19Cdyw,"shower ","shower",1
00177-VSxVP19Cdyw,"unknown /outside","unknown",1
00177-VSxVP19Cdyw,"ventilation pipe","pipe",1
00177-VSxVP19Cdyw,"wall frame","picture",1
00177-VSxVP19Cdyw,"washbasin cabinet","wash cabinet",3
00179-MVVzj944atG,"doorframe","door frame",11
00179-MVVzj944atG,"shelf /w art","shelf with art",1
00188-dQrLTxHvLXU,"decoratinon","decoration",1
00188-dQrLTxHvLXU,"dust bin","dustbin",3
00205-NEVASPhcrxR,"Jewellery exposition","jewelry",1
00205-NEVASPhcrxR,"WALL","wall",1
00205-NEVASPhcrxR,"candles","candle",5
00205-NEVASPhcrxR,"ceiling ","ceiling",1
00205-NEVASPhcrxR,"ceiling light","ceiling lamp",2
00205-NEVASPhcrxR,"celing lamp","ceiling lamp",1
00205-NEVASPhcrxR,"celing lower","ceiling lower",1
00205-NEVASPhcrxR,"diplom","diploma",4
00205-NEVASPhcrxR,"dish with food","dish",3
00205-NEVASPhcrxR,"door ","door",2
00205-NEVASPhcrxR,"door knob ","door knob",1
00205-NEVASPhcrxR,"door slide","sliding door",1
00205-NEVASPhcrxR,"doors","door",1
00205-NEVASPhcrxR,"fans","fan",1
00205-NEVASPhcrxR,"hand drier","hand dryer",4
00205-NEVASPhcrxR,"hot drinks machine","beverage dispenser",2
00205-NEVASPhcrxR,"jewellery ehibition","jewelry",1
00205-NEVASPhcrxR,"jewellery exhibition","jewelry",38
00205-NEVASPhcrxR,"jewellery","jewelry",5
00205-NEVASPhcrxR,"launger","lounger",1
00205-NEVASPhcrxR,"make up accesories","makeup accessories",1
00205-NEVASPhcrxR,"picture ","picture",5
00205-NEVASPhcrxR,"pipes","pipe",1
00205-NEVASPhcrxR,"sauna ceiling","ceiling",1
00205-NEVASPhcrxR,"sauna floor","floor",1
00205-NEVASPhcrxR,"sauna wall","wall",6
00205-NEVASPhcrxR,"shower head","showerhead",5
00205-NEVASPhcrxR,"spa bench ","spa bench",1
00205-NEVASPhcrxR,"table shelf","shelf",1
00205-NEVASPhcrxR,"tap/ water source","tap",1
00205-NEVASPhcrxR,"tea boxes ","boxes",2
00205-NEVASPhcrxR,"therapeutic chair","chair",1
00205-NEVASPhcrxR,"tissues","tissue",3
00205-NEVASPhcrxR,"towel paper dispenser","toilet paper dispenser",1
00205-NEVASPhcrxR,"towels","towel",24
00205-NEVASPhcrxR,"tube","tv",1
00205-NEVASPhcrxR,"unknown device","unknown",2
00205-NEVASPhcrxR,"unknown facility","unknown",1
00205-NEVASPhcrxR,"unknown stuff","unknown",1
00205-NEVASPhcrxR,"unknown/ pile of something","clutter",1
00205-NEVASPhcrxR,"unknown/ probably advertisement","magazine",1
00205-NEVASPhcrxR,"unknown/ probably bin","bin",1
00205-NEVASPhcrxR,"unknown/ probably cups","cups",1
00205-NEVASPhcrxR,"unknown/ probably decoration","decoration",1
00205-NEVASPhcrxR,"unknown/ probably fire detector","smoke detector",3
00205-NEVASPhcrxR,"unknown/ probably foam","foam",1
00205-NEVASPhcrxR,"unknown/ probably lamp","lamp",1
00205-NEVASPhcrxR,"unknown/ probably liquid soap","soap",1
00205-NEVASPhcrxR,"unknown/ probably magazine","magazine",1
00205-NEVASPhcrxR,"unknown/ probably paper towel dispenser","paper towels",1
00205-NEVASPhcrxR,"unknown/ probably paper towel holder","paper towels",1
00205-NEVASPhcrxR,"unknown/ probably shelf","shelf",1
00205-NEVASPhcrxR,"unknown/ probably shower cabine","shower",1
00205-NEVASPhcrxR,"unknown/ probably soap","soap",2
00205-NEVASPhcrxR,"unknown/ probably solarium chair","chair",1
00205-NEVASPhcrxR,"unknown/ probably table lamp","table lamp",1
00205-NEVASPhcrxR,"unknown/ probably telephone","telephone",1
00205-NEVASPhcrxR,"unknown/ probably tissue dispenser","tissue",1
00205-NEVASPhcrxR,"wall ","wall",14
00205-NEVASPhcrxR,"śign","sign",1
00207-FRQ75PjD278,"cupboard","cabinet",2
00207-FRQ75PjD278,"doorframe","door frame",2
00207-FRQ75PjD278,"toolbox","tool box",1
00210-j2EJhFEQGCL,"Chaise longue","chaise longue",2
00210-j2EJhFEQGCL,"bathtube","bathtub",1
00210-j2EJhFEQGCL,"flush buttons","flush button",1
00210-j2EJhFEQGCL,"lamps","lamp",1
00210-j2EJhFEQGCL,"microweave","microwave",1
00210-j2EJhFEQGCL,"motion sensor","motion detector",5
00210-j2EJhFEQGCL,"night table","nightstand",6
00210-j2EJhFEQGCL,"photography","photo",13
00210-j2EJhFEQGCL,"rain shower","showerhead",3
00210-j2EJhFEQGCL,"remote","remote control",1
00210-j2EJhFEQGCL,"shelves","shelving",1
00210-j2EJhFEQGCL,"trash can","trashcan",1
00210-j2EJhFEQGCL,"vegetation","plant",2
00210-j2EJhFEQGCL,"wall controll","wall control",1
00210-j2EJhFEQGCL,"wall controller","wall control",1
00210-j2EJhFEQGCL,"wall of green","wall",2
00210-j2EJhFEQGCL,"wine refrigerator","refrigerator",1
00217-qz3829g1Lzf,"bascet","basket",6
00217-qz3829g1Lzf,"beside table","bedside table",1
00217-qz3829g1Lzf,"candel","candle",1
00217-qz3829g1Lzf,"ceiling ","ceiling",3
00217-qz3829g1Lzf,"doorframe ","door frame",1
00217-qz3829g1Lzf,"lmap","lamp",1
00217-qz3829g1Lzf,"mirror ","mirror",3
00217-qz3829g1Lzf,"night table","nightstand",3
00217-qz3829g1Lzf,"small table","table",1
00217-qz3829g1Lzf,"tablecloth","table cloth",1
00217-qz3829g1Lzf,"trash bin","trashcan",5
00217-qz3829g1Lzf,"unknwom","unknown",1
00217-qz3829g1Lzf,"unknwon","unknown",1
00217-qz3829g1Lzf,"vese","vessel",1
00217-qz3829g1Lzf,"wal","wall",1
00217-qz3829g1Lzf,"wall ","wall",7
00217-qz3829g1Lzf,"wall vent","vent",2
00217-qz3829g1Lzf,"window ","window",5
00217-qz3829g1Lzf,"windown frame","window frame",1
00217-qz3829g1Lzf,"windows frame","window frame",1
00234-nACV8wLu1u5,"bike","bicycle",2
00234-nACV8wLu1u5,"books","book",20
00234-nACV8wLu1u5,"hood","range hood",1
00234-nACV8wLu1u5,"night table","nightstand",3
00234-nACV8wLu1u5,"stacked chairs","stacked chair",1
00234-nACV8wLu1u5,"tablecloth","table cloth",2
00234-nACV8wLu1u5,"teddy bear","stuffed animal",1
00234-nACV8wLu1u5,"toilet paper holder","toilet paper dispenser",2
00234-nACV8wLu1u5,"tools","tool",1
